,precision,recall,f1-score,support
Slight,0.861,0.783,0.82,33927.0
Serious,0.801,0.768,0.784,34034.0
Fatal,0.857,0.97,0.91,34059.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.84,0.84,0.838,102020.0
weighted avg,0.84,0.84,0.838,102020.0
