,precision,recall,f1-score,support
Slight,0.826,0.834,0.83,63868.0
Serious,0.816,0.789,0.802,63868.0
Fatal,0.944,0.966,0.955,63867.0
accuracy,0.863,0.863,0.863,0.863
macro avg,0.862,0.863,0.862,191603.0
weighted avg,0.862,0.863,0.862,191603.0
