,precision,recall,f1-score,support
Slight,0.813,0.828,0.821,62286.0
Serious,0.802,0.781,0.792,62286.0
Fatal,0.941,0.949,0.945,62285.0
accuracy,0.853,0.853,0.853,0.853
macro avg,0.852,0.853,0.852,186857.0
weighted avg,0.852,0.853,0.852,186857.0
