,precision,recall,f1-score,support
Assistance,0.749,0.648,0.695,1863.0
Slight,0.69,0.783,0.733,1863.0
accuracy,0.715,0.715,0.715,0.715
macro avg,0.719,0.715,0.714,3726.0
weighted avg,0.719,0.715,0.714,3726.0
