,precision,recall,f1-score,support
Assistance,0.844,0.908,0.875,2900.0
Slight,0.9,0.833,0.865,2901.0
accuracy,0.87,0.87,0.87,0.87
macro avg,0.872,0.87,0.87,5801.0
weighted avg,0.872,0.87,0.87,5801.0
