,precision,recall,f1-score,support
Assistance,0.819,0.826,0.823,2856.0
Slight,0.825,0.818,0.821,2857.0
accuracy,0.822,0.822,0.822,0.822
macro avg,0.822,0.822,0.822,5713.0
weighted avg,0.822,0.822,0.822,5713.0
