,precision,recall,f1-score,support
Slight,0.596,0.596,0.596,42509.0
Serious,0.638,0.486,0.552,42509.0
Fatal,0.745,0.922,0.824,42508.0
accuracy,0.668,0.668,0.668,0.668
macro avg,0.66,0.668,0.657,127526.0
weighted avg,0.66,0.668,0.657,127526.0
