,precision,recall,f1-score,support
Fatal,0.826,0.8,0.813,40596.0
Serious,0.581,0.758,0.658,40597.0
Slight,0.835,0.606,0.702,40597.0
accuracy,0.721,0.721,0.721,0.721
macro avg,0.747,0.721,0.724,121790.0
weighted avg,0.747,0.721,0.724,121790.0
