,precision,recall,f1-score,support
Slight,0.959,0.975,0.967,3207.0
Assistance,0.975,0.958,0.966,3206.0
accuracy,0.967,0.967,0.967,0.967
macro avg,0.967,0.967,0.967,6413.0
weighted avg,0.967,0.967,0.967,6413.0
