,precision,recall,f1-score,support
Assistance,0.637,0.831,0.721,2456.0
Slight,0.757,0.527,0.622,2456.0
accuracy,0.679,0.679,0.679,0.679
macro avg,0.697,0.679,0.671,4912.0
weighted avg,0.697,0.679,0.671,4912.0
