,precision,recall,f1-score,support
Assistance,0.694,0.672,0.683,1416.0
Slight,0.682,0.704,0.693,1416.0
accuracy,0.688,0.688,0.688,0.688
macro avg,0.688,0.688,0.688,2832.0
weighted avg,0.688,0.688,0.688,2832.0
