,precision,recall,f1-score,support
Slight,0.583,0.865,0.696,42509.0
Serious,0.846,0.574,0.684,42508.0
Fatal,0.872,0.729,0.794,42509.0
accuracy,0.723,0.723,0.723,0.723
macro avg,0.767,0.723,0.725,127526.0
weighted avg,0.767,0.723,0.725,127526.0
