,precision,recall,f1-score,support
Slight,0.783,0.627,0.696,2560.0
Assistance,0.689,0.827,0.752,2560.0
accuracy,0.727,0.727,0.727,0.727
macro avg,0.736,0.727,0.724,5120.0
weighted avg,0.736,0.727,0.724,5120.0
