,precision,recall,f1-score,support
Assistance,0.719,0.681,0.699,2861.0
Slight,0.697,0.734,0.715,2861.0
accuracy,0.707,0.707,0.707,0.707
macro avg,0.708,0.707,0.707,5722.0
weighted avg,0.708,0.707,0.707,5722.0
