,precision,recall,f1-score,support
Slight,0.812,0.368,0.507,622.0
Assistance,0.591,0.915,0.718,621.0
accuracy,0.641,0.641,0.641,0.641
macro avg,0.702,0.641,0.612,1243.0
weighted avg,0.702,0.641,0.612,1243.0
