,precision,recall,f1-score,support
Slight,0.583,0.865,0.697,42509.0
Serious,0.845,0.568,0.679,42508.0
Fatal,0.873,0.737,0.799,42509.0
accuracy,0.724,0.724,0.724,0.724
macro avg,0.767,0.724,0.725,127526.0
weighted avg,0.767,0.724,0.725,127526.0
