,precision,recall,f1-score,support
Slight,0.634,0.178,0.278,42509.0
Serious,0.648,0.14,0.231,42508.0
Fatal,0.39,0.977,0.558,42509.0
accuracy,0.432,0.432,0.432,0.432
macro avg,0.558,0.432,0.356,127526.0
weighted avg,0.558,0.432,0.356,127526.0
