,precision,recall,f1-score,support
Slight,0.632,0.543,0.584,1653.0
Assistance,0.6,0.685,0.64,1659.0
accuracy,0.614,0.614,0.614,0.614
macro avg,0.616,0.614,0.612,3312.0
weighted avg,0.616,0.614,0.612,3312.0
