,precision,recall,f1-score,support
Assistance,0.697,0.643,0.669,2148.0
Slight,0.669,0.721,0.694,2148.0
accuracy,0.682,0.682,0.682,0.682
macro avg,0.683,0.682,0.681,4296.0
weighted avg,0.683,0.682,0.681,4296.0
