,precision,recall,f1-score,support
Assistance,0.607,0.542,0.573,1833.0
Slight,0.586,0.649,0.616,1833.0
accuracy,0.595,0.595,0.595,0.595
macro avg,0.597,0.595,0.594,3666.0
weighted avg,0.597,0.595,0.594,3666.0
