,precision,recall,f1-score,support
Slight,0.603,0.633,0.618,2981.0
Assistance,0.614,0.584,0.599,2981.0
accuracy,0.609,0.609,0.609,0.609
macro avg,0.609,0.609,0.608,5962.0
weighted avg,0.609,0.609,0.608,5962.0
