,precision,recall,f1-score,support
Slight,0.9806279225116901,0.13815170336909469,0.24218427781902174,10626.0
Serious,0.022099447513812154,0.701195219123506,0.042848447961046865,251.0
Fatal,0.003484320557491289,0.2631578947368421,0.0068775790921595595,19.0
accuracy,0.15133994126284875,0.15133994126284875,0.15133994126284875,0.15133994126284875
macro avg,0.3354038968609978,0.36750160574314755,0.0973034349574094,10896.0
weighted avg,0.956843379958313,0.15133994126284878,0.23718206411030648,10896.0
