,precision,recall,f1-score,support
Slight,0.9303944315545244,0.037766057637973256,0.07258575436691103,10618.0
Serious,0.016597510373443983,0.015151515151515152,0.015841584158415845,264.0
Fatal,0.0011737089201877935,0.8571428571428571,0.0023442078530963076,14.0
accuracy,0.03827092511013216,0.03827092511013216,0.03827092511013216,0.03827092511013216
macro avg,0.3160552169493854,0.30335347664411516,0.03025718212614106,10896.0
weighted avg,0.9070600448705408,0.038270925110132165,0.07112064399739597,10896.0
