,precision,recall,f1-score,support
Slight,0.9824870364934938,0.944951538533923,0.9633537989255564,10627.0
Serious,0.1043338683788122,0.2801724137931034,0.15204678362573099,232.0
Fatal,0.0,0.0,0.0,18.0
accuracy,0.9292084214397353,0.9292084214397353,0.9292084214397353,0.9292084214397353
macro avg,0.3622736349574353,0.40837465077567553,0.3718001941837625,10877.0
weighted avg,0.9621306605019989,0.9292084214397353,0.9444548749639659,10877.0
