,precision,recall,f1-score,support
Assistance,0.611,0.822,0.701,2861.0
Slight,0.728,0.476,0.576,2861.0
accuracy,0.649,0.649,0.649,0.649
macro avg,0.67,0.649,0.638,5722.0
weighted avg,0.67,0.649,0.638,5722.0
