,precision,recall,f1-score,support
Assistance,0.694,0.34,0.457,1838.0
Slight,0.563,0.85,0.678,1838.0
accuracy,0.595,0.595,0.595,0.595
macro avg,0.629,0.595,0.567,3676.0
weighted avg,0.629,0.595,0.567,3676.0
