,precision,recall,f1-score,support
Slight,0.487,0.703,0.575,62286.0
Serious,0.519,0.521,0.52,62286.0
Fatal,0.59,0.326,0.42,62285.0
accuracy,0.517,0.517,0.517,0.517
macro avg,0.532,0.517,0.505,186857.0
weighted avg,0.532,0.517,0.505,186857.0
