,precision,recall,f1-score,support
Slight,0.639,0.183,0.285,42509.0
Serious,0.665,0.137,0.227,42508.0
Fatal,0.391,0.981,0.559,42509.0
accuracy,0.434,0.434,0.434,0.434
macro avg,0.565,0.434,0.357,127526.0
weighted avg,0.565,0.434,0.357,127526.0
