,precision,recall,f1-score,support
Assistance,0.585,0.85,0.693,2456.0
Slight,0.726,0.397,0.513,2456.0
accuracy,0.623,0.623,0.623,0.623
macro avg,0.655,0.623,0.603,4912.0
weighted avg,0.655,0.623,0.603,4912.0
