,precision,recall,f1-score,support
Slight,0.637,0.177,0.277,33927.0
Serious,0.649,0.143,0.234,34034.0
Fatal,0.391,0.977,0.559,34059.0
accuracy,0.433,0.433,0.433,0.433
macro avg,0.559,0.432,0.357,102020.0
weighted avg,0.559,0.433,0.357,102020.0
