,precision,recall,f1-score,support
Fatal,0.613,0.475,0.535,40596.0
Serious,0.491,0.512,0.501,40597.0
Slight,0.58,0.685,0.628,40597.0
accuracy,0.558,0.558,0.558,0.558
macro avg,0.561,0.558,0.555,121790.0
weighted avg,0.561,0.558,0.555,121790.0
