,precision,recall,f1-score,support
Assistance,0.588,0.532,0.558,1789.0
Slight,0.573,0.627,0.599,1790.0
accuracy,0.579,0.579,0.579,0.579
macro avg,0.58,0.579,0.579,3579.0
weighted avg,0.58,0.579,0.579,3579.0
