,precision,recall,f1-score,support
Assistance,0.66,0.476,0.553,1789.0
Slight,0.59,0.755,0.663,1790.0
accuracy,0.616,0.616,0.616,0.616
macro avg,0.625,0.615,0.608,3579.0
weighted avg,0.625,0.616,0.608,3579.0
