,precision,recall,f1-score,support
Slight,0.57,0.77,0.655,2981.0
Assistance,0.645,0.419,0.508,2981.0
accuracy,0.594,0.594,0.594,0.594
macro avg,0.608,0.594,0.582,5962.0
weighted avg,0.608,0.594,0.582,5962.0
