,precision,recall,f1-score,support
Assistance,0.722,0.53,0.611,2856.0
Slight,0.629,0.796,0.703,2857.0
accuracy,0.663,0.663,0.663,0.663
macro avg,0.675,0.663,0.657,5713.0
weighted avg,0.675,0.663,0.657,5713.0
