,precision,recall,f1-score,support
Assistance,0.738,0.521,0.611,4884.0
Slight,0.63,0.816,0.711,4884.0
accuracy,0.668,0.668,0.668,0.668
macro avg,0.684,0.668,0.661,9768.0
weighted avg,0.684,0.668,0.661,9768.0
