,precision,recall,f1-score,support
Assistance,0.839,0.811,0.825,1789.0
Slight,0.817,0.845,0.831,1790.0
accuracy,0.828,0.828,0.828,0.828
macro avg,0.828,0.828,0.828,3579.0
weighted avg,0.828,0.828,0.828,3579.0
