,precision,recall,f1-score,support
Assistance,0.914,0.887,0.9,2861.0
Slight,0.89,0.917,0.903,2861.0
accuracy,0.902,0.902,0.902,0.902
macro avg,0.902,0.902,0.902,5722.0
weighted avg,0.902,0.902,0.902,5722.0
