,precision,recall,f1-score,support
Assistance,0.886,0.928,0.907,2900.0
Slight,0.925,0.881,0.902,2901.0
accuracy,0.904,0.904,0.904,0.904
macro avg,0.905,0.905,0.904,5801.0
weighted avg,0.905,0.904,0.904,5801.0
