,precision,recall,f1-score,support
Assistance,0.885,0.918,0.901,2856.0
Slight,0.915,0.881,0.897,2857.0
accuracy,0.899,0.899,0.899,0.899
macro avg,0.9,0.899,0.899,5713.0
weighted avg,0.9,0.899,0.899,5713.0
