,precision,recall,f1-score,support
Assistance,0.986,0.995,0.991,2900.0
Slight,0.995,0.986,0.99,2901.0
accuracy,0.991,0.991,0.991,0.991
macro avg,0.991,0.991,0.991,5801.0
weighted avg,0.991,0.991,0.991,5801.0
