,precision,recall,f1-score,support
Assistance,0.954,0.921,0.937,1838.0
Slight,0.924,0.956,0.94,1838.0
accuracy,0.939,0.939,0.939,0.939
macro avg,0.939,0.939,0.939,3676.0
weighted avg,0.939,0.939,0.939,3676.0
