,precision,recall,f1-score,support
Slight,0.997,0.988,0.993,3207.0
Assistance,0.988,0.998,0.993,3206.0
accuracy,0.993,0.993,0.993,0.993
macro avg,0.993,0.993,0.993,6413.0
weighted avg,0.993,0.993,0.993,6413.0
