,precision,recall,f1-score,support
Fatal,0.64,0.998,0.78,11225.0
Serious,0.571,0.603,0.586,11226.0
Slight,0.866,0.334,0.482,11226.0
accuracy,0.645,0.645,0.645,0.645
macro avg,0.693,0.645,0.616,33677.0
weighted avg,0.693,0.645,0.616,33677.0
