,precision,recall,f1-score,support
Assistance,0.968,0.967,0.967,1794.0
Slight,0.967,0.968,0.967,1794.0
accuracy,0.967,0.967,0.967,0.967
macro avg,0.967,0.967,0.967,3588.0
weighted avg,0.967,0.967,0.967,3588.0
