,hora,tipo_carretera,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,drogas_alcohol_positivo,vehiculos_implicados,coordenada_x_utm,coordenada_y_utm
24424,1,19,6.0,6,4.0,9.0,1.0,2,1,Slight,2,2,439660493,4476315836
24425,1,19,6.0,6,4.0,9.0,3.0,3,1,Slight,2,2,439660493,4476315836
27656,1,19,6.0,3,1.0,3.0,1.0,3,1,Serious,2,3,439663364,4476314904
27657,1,19,6.0,3,1.0,5.0,1.0,3,1,Slight,2,3,439663364,4476314904
27658,1,19,6.0,3,1.0,5.0,2.0,2,1,Slight,2,3,439663364,4476314904
34112,1,19,6.0,3,3.0,3.0,1.0,3,1,Slight,2,1,439659405,4476324763
19248,1,19,6.0,6,1.0,6.0,1.0,3,1,Slight,2,2,439092107,4476345791
19249,1,19,6.0,6,1.0,6.0,3.0,4,1,Serious,2,2,439092107,4476345791
28414,1,19,6.0,6,2.0,5.0,1.0,3,1,Serious,2,2,440710847,4476347562
28415,1,19,6.0,6,2.0,5.0,3.0,1,1,Serious,2,2,440710847,4476347562
24137,2,19,9.0,6,1.0,4.0,1.0,3,1,Slight,2,3,437965699,4476394554
24138,2,19,9.0,6,1.0,4.0,3.0,2,2,Serious,2,3,437965699,4476394554
24139,2,19,9.0,6,1.0,5.0,1.0,3,1,Slight,2,3,437965699,4476394554
47213,1,19,6.0,2,1.0,3.0,1.0,3,1,Slight,2,3,441388100,4476408570
47214,1,19,6.0,2,1.0,3.0,2.0,3,2,Serious,2,3,441388100,4476408570
47215,1,19,6.0,2,1.0,5.0,1.0,3,2,Slight,2,3,441388100,4476408570
9370,1,17,20.0,6,1.0,6.0,1.0,3,1,Slight,2,2,445967765,4476425796
9371,1,17,20.0,6,1.0,6.0,3.0,3,1,Serious,2,2,445967765,4476425796
16872,2,3,4.0,3,1.0,4.0,1.0,3,1,Serious,2,1,441547507,4476433774
51164,2,19,4.0,4,1.0,1.0,1.0,2,1,Serious,2,2,442553450,4476483820
51165,2,19,4.0,4,1.0,12.0,1.0,3,1,Slight,2,2,442553450,4476483820
43706,2,19,4.0,1,2.0,3.0,2.0,3,2,Serious,2,1,441743080,4476493410
44558,2,14,9.0,2,1.0,4.0,1.0,3,1,Serious,2,3,438530490,4476502790
44559,2,14,9.0,2,1.0,5.0,1.0,2,1,Slight,2,3,438530490,4476502790
44560,2,14,9.0,2,1.0,5.0,2.0,2,2,Slight,2,3,438530490,4476502790
51792,1,17,9.0,0,1.0,6.0,1.0,3,1,Slight,2,2,438530490,4476502790
51793,1,17,9.0,0,1.0,4.0,1.0,3,1,Slight,2,2,438530490,4476502790
31115,2,17,9.0,4,1.0,4.0,1.0,3,1,Serious,2,2,438722056,4476535141
31116,2,17,9.0,4,1.0,5.0,1.0,3,1,Slight,2,2,438722056,4476535141
3901,1,3,4.0,4,1.0,5.0,1.0,3,1,Slight,2,3,441459599,4476551973
3902,1,3,4.0,4,1.0,5.0,1.0,3,2,Slight,2,3,441459599,4476551973
11904,1,3,4.0,0,1.0,3.0,1.0,3,1,Serious,2,3,441458257,4476552700
11905,1,3,4.0,0,1.0,5.0,1.0,3,1,Slight,2,3,441458257,4476552700
12482,2,17,4.0,4,1.0,6.0,1.0,3,1,Slight,2,2,442606623,4476559355
12483,2,17,4.0,4,1.0,4.0,1.0,3,1,Serious,2,2,442606623,4476559355
42834,1,19,4.0,2,2.0,4.0,1.0,3,1,Fatal,2,3,441571360,4476574830
42835,1,19,4.0,2,2.0,5.0,1.0,3,1,Slight,2,3,441571360,4476574830
44893,1,19,4.0,2,1.0,5.0,1.0,4,1,Slight,2,1,441571360,4476574830
2008,1,12,4.0,2,2.0,9.0,1.0,3,1,Slight,2,2,441457999,4476602384
2009,1,12,4.0,2,2.0,4.0,1.0,3,1,Serious,2,2,441457999,4476602384
11744,1,3,7.0,2,1.0,4.0,1.0,3,1,Slight,2,2,441467950,4476599376
11745,1,3,7.0,2,1.0,5.0,1.0,3,2,Slight,2,2,441467950,4476599376
30055,1,17,9.0,1,1.0,5.0,1.0,3,1,Serious,2,2,438958417,4476616861
30056,1,17,9.0,1,1.0,5.0,2.0,3,1,Serious,2,2,438958417,4476616861
45048,2,17,9.0,3,2.0,4.0,1.0,3,1,Slight,2,1,438544180,4476624270
45630,2,17,9.0,3,1.0,3.0,1.0,3,1,Slight,2,1,438544180,4476624270
51291,1,17,9.0,4,1.0,4.0,1.0,3,1,Slight,2,3,438544180,4476624270
51292,1,17,9.0,4,1.0,4.0,2.0,3,1,Slight,2,3,438544180,4476624270
51293,1,17,9.0,4,1.0,5.0,1.0,3,1,Slight,2,3,438544180,4476624270
51597,1,17,9.0,1,1.0,5.0,1.0,3,2,Slight,2,1,438544180,4476624270
54219,2,17,9.0,3,1.0,4.0,1.0,3,1,Serious,2,1,438544180,4476624270
38473,2,19,6.0,6,1.0,5.0,1.0,3,1,Slight,2,2,440694817,4476656491
38474,2,19,6.0,6,1.0,5.0,3.0,3,1,Serious,2,2,440694817,4476656491
24269,1,17,6.0,6,2.0,3.0,1.0,2,1,Slight,2,2,440274511,4476668495
24270,1,17,6.0,6,2.0,3.0,3.0,3,2,Serious,2,2,440274511,4476668495
27268,2,19,6.0,2,1.0,3.0,1.0,3,1,Slight,2,3,440075132,4476701302
