,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
35166,344697,383035,6,2,2,1,20,1,1,7,27,7,6,2,1,1,2,Assistance,-2.832072,53.341325
35167,344697,383035,6,2,2,1,20,1,1,7,27,7,1,4,1,1,2,Assistance,-2.832072,53.341325
35168,344697,383035,6,2,2,1,20,1,1,7,27,9,6,2,1,1,2,Slight,-2.832072,53.341325
35169,344697,383035,6,2,2,1,20,1,1,7,27,9,1,4,1,1,2,Slight,-2.832072,53.341325
35166,344697,383035,6,2,2,1,20,1,1,7,27,7,6,2,1,1,2,Assistance,-2.832072,53.341325
35167,344697,383035,6,2,2,1,20,1,1,7,27,7,1,4,1,1,2,Assistance,-2.832072,53.341325
35168,344697,383035,6,2,2,1,20,1,1,7,27,9,6,2,1,1,2,Slight,-2.832072,53.341325
35169,344697,383035,6,2,2,1,20,1,1,7,27,9,1,4,1,1,2,Slight,-2.832072,53.341325
2968,343850,383080,6,1,2,2,30,1,2,4,45,5,5,1,1,1,3,Assistance,-2.844823,53.341614
2969,343850,383080,6,1,2,2,30,1,2,4,45,5,2,1,1,1,3,Assistance,-2.844823,53.341614
6278,343850,383080,6,1,2,1,30,1,1,2,1,9,1,4,1,2,2,Slight,-2.844823,53.341614
6279,343850,383080,6,1,2,1,30,1,1,2,1,9,1,4,2,2,2,Slight,-2.844823,53.341614
6569,343850,383090,6,1,2,1,30,1,1,2,20,9,9,4,1,1,4,Slight,-2.844825,53.341704
6570,343850,383090,6,1,2,1,30,1,1,2,20,9,1,5,1,1,4,Slight,-2.844825,53.341704
34828,343850,383079,6,1,2,2,30,1,1,5,15,9,4,1,1,2,3,Slight,-2.844799,53.341631
2968,343850,383080,6,1,2,2,30,1,2,4,45,5,5,1,1,1,3,Assistance,-2.844823,53.341614
2969,343850,383080,6,1,2,2,30,1,2,4,45,5,2,1,1,1,3,Assistance,-2.844823,53.341614
6278,343850,383080,6,1,2,1,30,1,1,2,1,9,1,4,1,2,2,Slight,-2.844823,53.341614
6279,343850,383080,6,1,2,1,30,1,1,2,1,9,1,4,2,2,2,Slight,-2.844823,53.341614
6569,343850,383090,6,1,2,1,30,1,1,2,20,9,9,4,1,1,4,Slight,-2.844825,53.341704
6570,343850,383090,6,1,2,1,30,1,1,2,20,9,1,5,1,1,4,Slight,-2.844825,53.341704
