,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
24044,383247,385382,5,1,2,2,40,1,5,2,39,9,4,2,1,1,3,Slight,-2.253229,53.365028
24045,383247,385382,5,1,2,2,40,1,5,2,39,5,11,4,1,1,3,Assistance,-2.253229,53.365028
24046,383247,385382,5,1,2,2,40,1,5,2,39,5,4,2,1,1,3,Assistance,-2.253229,53.365028
25303,383250,385380,5,1,2,1,40,3,1,6,6,9,20,2,1,1,3,Slight,-2.253185,53.36501
25304,383250,385380,5,1,2,1,40,3,1,6,6,9,10,2,1,1,3,Slight,-2.253185,53.36501
25305,383250,385380,5,1,2,1,40,3,1,6,6,9,20,2,1,2,2,Slight,-2.253185,53.36501
25306,383250,385380,5,1,2,1,40,3,1,6,6,9,10,2,1,2,2,Slight,-2.253185,53.36501
3096,383020,385400,6,1,3,2,30,3,1,2,46,9,3,3,1,1,3,Slight,-2.256642,53.365182
3097,383020,385400,6,1,3,2,30,3,1,2,46,9,7,4,1,1,3,Slight,-2.256642,53.365182
3098,383020,385400,6,1,3,2,30,3,1,2,46,9,3,3,1,2,3,Slight,-2.256642,53.365182
3099,383020,385400,6,1,3,2,30,3,1,2,46,9,7,4,1,2,3,Slight,-2.256642,53.365182
34022,383014,385401,3,1,2,1,40,3,1,6,51,3,8,2,1,1,3,Assistance,-2.25672,53.365218
19883,380490,385420,1,1,5,4,70,3,7,1,49,11,1,3,1,1,3,Assistance,-2.294663,53.365274
19884,380490,385420,1,1,5,4,70,3,7,1,49,11,3,3,1,1,3,Assistance,-2.294663,53.365274
19885,380490,385420,1,1,5,4,70,3,7,1,49,13,1,3,2,1,3,Slight,-2.294663,53.365274
19886,380490,385420,1,1,5,4,70,3,7,1,49,13,3,3,2,1,3,Slight,-2.294663,53.365274
19887,380490,385420,1,1,5,4,70,3,7,1,49,9,1,3,1,1,3,Slight,-2.294663,53.365274
19888,380490,385420,1,1,5,4,70,3,7,1,49,9,3,3,1,1,3,Slight,-2.294663,53.365274
3785,380500,385500,1,1,3,2,70,3,2,2,45,9,11,2,1,1,3,Slight,-2.294517,53.365994
3786,380500,385500,1,1,3,2,70,3,2,2,45,9,4,3,1,1,3,Slight,-2.294517,53.365994
3787,380500,385500,1,1,3,2,70,3,2,2,45,9,11,2,2,2,3,Slight,-2.294517,53.365994
3788,380500,385500,1,1,3,2,70,3,2,2,45,9,4,3,2,2,3,Slight,-2.294517,53.365994
32302,380496,385500,1,1,2,1,70,1,1,2,12,7,4,4,1,1,4,Assistance,-2.294564,53.366021
32303,380496,385500,1,1,2,1,70,1,1,2,12,7,8,5,1,1,4,Assistance,-2.294564,53.366021
22323,381722,385514,5,2,2,1,30,3,1,2,11,8,12,4,1,1,3,Assistance,-2.276154,53.366163
7374,380690,385540,6,1,3,1,30,1,1,2,16,9,11,2,1,2,2,Assistance,-2.291665,53.36636
7375,380690,385540,6,1,3,1,30,1,1,2,16,9,1,2,1,2,2,Assistance,-2.291665,53.36636
7376,380690,385540,6,1,3,1,30,1,1,2,16,9,4,2,1,2,2,Assistance,-2.291665,53.36636
7377,380690,385540,6,1,3,1,30,1,1,2,16,9,11,2,2,2,3,Assistance,-2.291665,53.36636
7378,380690,385540,6,1,3,1,30,1,1,2,16,9,1,2,2,2,3,Assistance,-2.291665,53.36636
7379,380690,385540,6,1,3,1,30,1,1,2,16,9,4,2,2,2,3,Assistance,-2.291665,53.36636
7380,380690,385540,6,1,3,1,30,1,1,2,16,9,11,2,1,1,3,Slight,-2.291665,53.36636
7381,380690,385540,6,1,3,1,30,1,1,2,16,9,1,2,1,1,3,Slight,-2.291665,53.36636
7382,380690,385540,6,1,3,1,30,1,1,2,16,9,4,2,1,1,3,Slight,-2.291665,53.36636
7383,380690,385540,6,1,3,1,30,1,1,2,16,8,11,2,1,1,3,Slight,-2.291665,53.36636
7384,380690,385540,6,1,3,1,30,1,1,2,16,8,1,2,1,1,3,Slight,-2.291665,53.36636
7385,380690,385540,6,1,3,1,30,1,1,2,16,8,4,2,1,1,3,Slight,-2.291665,53.36636
7430,380690,385540,6,2,2,2,30,1,1,1,26,9,5,2,1,1,3,Slight,-2.291665,53.36636
7431,380690,385540,6,2,2,2,30,1,1,1,26,8,5,2,1,1,3,Slight,-2.291665,53.36636
10935,382000,385590,5,2,2,2,30,3,1,1,29,9,2,5,1,2,3,Assistance,-2.271981,53.366856
10936,382000,385590,5,2,2,2,30,3,1,1,29,9,4,5,1,2,3,Assistance,-2.271981,53.366856
19823,382000,385590,5,1,3,1,40,1,1,4,22,9,3,1,1,1,3,Slight,-2.271981,53.366856
19824,382000,385590,5,1,3,1,40,1,1,4,22,9,6,3,1,1,3,Slight,-2.271981,53.366856
19825,382000,385590,5,1,3,1,40,1,1,4,22,9,5,2,1,1,3,Slight,-2.271981,53.366856
19826,382000,385590,5,1,3,1,40,1,1,4,22,9,3,1,2,1,3,Slight,-2.271981,53.366856
19827,382000,385590,5,1,3,1,40,1,1,4,22,9,6,3,2,1,3,Slight,-2.271981,53.366856
19828,382000,385590,5,1,3,1,40,1,1,4,22,9,5,2,2,1,3,Slight,-2.271981,53.366856
19829,382000,385590,5,1,3,1,40,1,1,4,22,8,3,1,1,1,3,Slight,-2.271981,53.366856
19830,382000,385590,5,1,3,1,40,1,1,4,22,8,6,3,1,1,3,Slight,-2.271981,53.366856
19831,382000,385590,5,1,3,1,40,1,1,4,22,8,5,2,1,1,3,Slight,-2.271981,53.366856
3835,382000,385610,6,2,2,1,30,3,1,7,6,8,10,2,1,1,3,Slight,-2.271982,53.367036
3836,382000,385610,6,2,2,1,30,3,1,7,6,9,10,2,2,2,3,Slight,-2.271982,53.367036
3837,382000,385610,6,2,2,1,30,3,1,7,6,9,10,2,2,2,1,Slight,-2.271982,53.367036
10935,382000,385590,5,2,2,2,30,3,1,1,29,9,2,5,1,2,3,Assistance,-2.271981,53.366856
10936,382000,385590,5,2,2,2,30,3,1,1,29,9,4,5,1,2,3,Assistance,-2.271981,53.366856
19823,382000,385590,5,1,3,1,40,1,1,4,22,9,3,1,1,1,3,Slight,-2.271981,53.366856
19824,382000,385590,5,1,3,1,40,1,1,4,22,9,6,3,1,1,3,Slight,-2.271981,53.366856
19825,382000,385590,5,1,3,1,40,1,1,4,22,9,5,2,1,1,3,Slight,-2.271981,53.366856
19826,382000,385590,5,1,3,1,40,1,1,4,22,9,3,1,2,1,3,Slight,-2.271981,53.366856
19827,382000,385590,5,1,3,1,40,1,1,4,22,9,6,3,2,1,3,Slight,-2.271981,53.366856
19828,382000,385590,5,1,3,1,40,1,1,4,22,9,5,2,2,1,3,Slight,-2.271981,53.366856
19829,382000,385590,5,1,3,1,40,1,1,4,22,8,3,1,1,1,3,Slight,-2.271981,53.366856
19830,382000,385590,5,1,3,1,40,1,1,4,22,8,6,3,1,1,3,Slight,-2.271981,53.366856
19831,382000,385590,5,1,3,1,40,1,1,4,22,8,5,2,1,1,3,Slight,-2.271981,53.366856
10910,381950,385650,5,2,2,2,30,3,1,2,3,9,4,2,1,2,4,Slight,-2.272736,53.367394
10911,381950,385650,5,2,2,2,30,3,1,2,3,9,4,2,1,2,2,Slight,-2.272736,53.367394
10946,381950,385640,5,2,2,1,30,1,1,5,34,8,3,5,1,1,3,Slight,-2.272735,53.367304
10947,381950,385640,5,2,2,1,30,1,1,5,34,8,5,2,1,1,3,Slight,-2.272735,53.367304
19818,381960,385640,1,1,3,1,30,1,1,2,9,7,6,1,1,1,3,Assistance,-2.272585,53.367304
19819,381960,385640,1,1,3,1,30,1,1,2,9,7,1,3,1,1,3,Assistance,-2.272585,53.367304
19839,381950,385640,5,2,2,2,30,1,2,5,30,9,10,5,1,2,3,Slight,-2.272735,53.367304
19840,381950,385640,5,2,2,2,30,1,2,5,30,9,7,2,1,2,3,Slight,-2.272735,53.367304
19841,381950,385640,5,2,2,2,30,1,2,5,30,9,10,5,2,2,3,Slight,-2.272735,53.367304
19842,381950,385640,5,2,2,2,30,1,2,5,30,9,7,2,2,2,3,Slight,-2.272735,53.367304
19843,381950,385640,5,2,2,2,30,1,2,5,30,8,10,5,1,1,3,Slight,-2.272735,53.367304
19844,381950,385640,5,2,2,2,30,1,2,5,30,8,7,2,1,1,3,Slight,-2.272735,53.367304
19845,381950,385640,5,2,2,2,30,1,2,5,30,8,10,5,2,1,3,Slight,-2.272735,53.367304
19846,381950,385640,5,2,2,2,30,1,2,5,30,8,7,2,2,1,3,Slight,-2.272735,53.367304
19847,381950,385640,5,2,2,2,30,1,2,5,30,8,10,5,2,2,3,Slight,-2.272735,53.367304
19848,381950,385640,5,2,2,2,30,1,2,5,30,8,7,2,2,2,3,Slight,-2.272735,53.367304
19852,381960,385630,5,1,2,1,30,1,1,6,38,9,1,2,1,2,3,Slight,-2.272584,53.367214
26219,380570,385700,1,1,3,1,70,1,1,2,37,9,10,2,1,1,2,Slight,-2.293478,53.367794
26220,380570,385700,1,1,3,1,70,1,1,2,37,9,10,2,2,1,2,Slight,-2.293478,53.367794
26221,380570,385700,1,1,3,1,70,1,1,2,37,9,10,2,1,2,3,Assistance,-2.293478,53.367794
3797,380650,385810,6,1,1,2,40,3,2,1,49,9,6,5,1,2,3,Assistance,-2.292282,53.368786
3797,380650,385810,6,1,1,2,40,3,2,1,49,9,6,5,1,2,3,Assistance,-2.292282,53.368786
10268,383180,385880,5,1,1,2,30,3,1,5,8,2,5,4,3,1,1,Assistance,-2.254263,53.369502
10268,383180,385880,5,1,1,2,30,3,1,5,8,2,5,4,3,1,1,Assistance,-2.254263,53.369502
24344,381480,385927,1,1,2,1,70,1,1,7,47,8,4,2,2,1,3,Assistance,-2.279815,53.369867
24345,381480,385927,1,1,2,1,70,1,1,7,47,8,8,3,2,1,3,Assistance,-2.279815,53.369867
24346,381480,385927,1,1,2,1,70,1,1,7,47,9,4,2,1,2,2,Assistance,-2.279815,53.369867
24347,381480,385927,1,1,2,1,70,1,1,7,47,9,8,3,1,2,2,Assistance,-2.279815,53.369867
3751,380660,385980,1,1,2,1,70,1,1,5,28,13,4,2,1,1,3,Slight,-2.292142,53.370314
3752,380660,385980,1,1,2,1,70,1,1,5,28,13,0,3,1,1,3,Slight,-2.292142,53.370314
