,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
6750,344430,383000,6,2,1,30,1,1,3,28,9,7,2,1,2,2,Slight,-2.836098,53.340956,-0.8433914458128855,-0.5372996083468242
6751,344430,383000,6,2,1,30,1,1,3,28,9,9,5,2,1,3,Assistance,-2.836098,53.340956,-0.8433914458128855,-0.5372996083468242
6752,344430,383000,6,2,1,30,1,1,3,28,9,7,2,2,1,3,Assistance,-2.836098,53.340956,-0.8433914458128855,-0.5372996083468242
6753,344430,383000,6,2,1,30,1,1,3,28,9,9,5,2,1,1,Slight,-2.836098,53.340956,-0.8433914458128855,-0.5372996083468242
6754,344430,383000,6,2,1,30,1,1,3,28,9,7,2,2,1,1,Slight,-2.836098,53.340956,-0.8433914458128855,-0.5372996083468242
6749,344430,383000,6,2,1,30,1,1,3,28,9,9,5,1,2,2,Slight,-2.836098,53.340956,-0.8433914458128855,-0.5372996083468242
6750,344430,383000,6,2,1,30,1,1,3,28,9,7,2,1,2,2,Slight,-2.836098,53.340956,-0.8433914458128855,-0.5372996083468242
6751,344430,383000,6,2,1,30,1,1,3,28,9,9,5,2,1,3,Assistance,-2.836098,53.340956,-0.8433914458128855,-0.5372996083468242
6752,344430,383000,6,2,1,30,1,1,3,28,9,7,2,2,1,3,Assistance,-2.836098,53.340956,-0.8433914458128855,-0.5372996083468242
6753,344430,383000,6,2,1,30,1,1,3,28,9,9,5,2,1,1,Slight,-2.836098,53.340956,-0.8433914458128855,-0.5372996083468242
6754,344430,383000,6,2,1,30,1,1,3,28,9,7,2,2,1,1,Slight,-2.836098,53.340956,-0.8433914458128855,-0.5372996083468242
2968,343850,383080,6,2,2,30,1,2,4,45,5,5,1,1,1,3,Assistance,-2.844823,53.341614,0.4226182617406995,-0.9063077870366499
2969,343850,383080,6,2,2,30,1,2,4,45,5,2,1,1,1,3,Assistance,-2.844823,53.341614,0.4226182617406995,-0.9063077870366499
6278,343850,383080,6,2,1,30,1,1,2,1,9,1,4,1,2,2,Slight,-2.844823,53.341614,-0.9978589232386035,-0.06540312923014273
6279,343850,383080,6,2,1,30,1,1,2,1,9,1,4,2,2,2,Slight,-2.844823,53.341614,-0.9978589232386035,-0.06540312923014273
2968,343850,383080,6,2,2,30,1,2,4,45,5,5,1,1,1,3,Assistance,-2.844823,53.341614,0.4226182617406995,-0.9063077870366499
2969,343850,383080,6,2,2,30,1,2,4,45,5,2,1,1,1,3,Assistance,-2.844823,53.341614,0.4226182617406995,-0.9063077870366499
6278,343850,383080,6,2,1,30,1,1,2,1,9,1,4,1,2,2,Slight,-2.844823,53.341614,-0.9978589232386035,-0.06540312923014273
6279,343850,383080,6,2,1,30,1,1,2,1,9,1,4,2,2,2,Slight,-2.844823,53.341614,-0.9978589232386035,-0.06540312923014273
2968,343850,383080,6,2,2,30,1,2,4,45,5,5,1,1,1,3,Assistance,-2.844823,53.341614,0.4226182617406995,-0.9063077870366499
2969,343850,383080,6,2,2,30,1,2,4,45,5,2,1,1,1,3,Assistance,-2.844823,53.341614,0.4226182617406995,-0.9063077870366499
6278,343850,383080,6,2,1,30,1,1,2,1,9,1,4,1,2,2,Slight,-2.844823,53.341614,-0.9978589232386035,-0.06540312923014273
6279,343850,383080,6,2,1,30,1,1,2,1,9,1,4,2,2,2,Slight,-2.844823,53.341614,-0.9978589232386035,-0.06540312923014273
6569,343850,383090,6,2,1,30,1,1,2,20,9,9,4,1,1,4,Slight,-2.844825,53.341704,-0.7071067811865475,-0.7071067811865477
6570,343850,383090,6,2,1,30,1,1,2,20,9,1,5,1,1,4,Slight,-2.844825,53.341704,-0.7071067811865475,-0.7071067811865477
2968,343850,383080,6,2,2,30,1,2,4,45,5,5,1,1,1,3,Assistance,-2.844823,53.341614,0.4226182617406995,-0.9063077870366499
2969,343850,383080,6,2,2,30,1,2,4,45,5,2,1,1,1,3,Assistance,-2.844823,53.341614,0.4226182617406995,-0.9063077870366499
6278,343850,383080,6,2,1,30,1,1,2,1,9,1,4,1,2,2,Slight,-2.844823,53.341614,-0.9978589232386035,-0.06540312923014273
6279,343850,383080,6,2,1,30,1,1,2,1,9,1,4,2,2,2,Slight,-2.844823,53.341614,-0.9978589232386035,-0.06540312923014273
6569,343850,383090,6,2,1,30,1,1,2,20,9,9,4,1,1,4,Slight,-2.844825,53.341704,-0.7071067811865475,-0.7071067811865477
6570,343850,383090,6,2,1,30,1,1,2,20,9,1,5,1,1,4,Slight,-2.844825,53.341704,-0.7071067811865475,-0.7071067811865477
