,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
18317,431570,380430,6,2,3,1,30,1,1,5,24,9,7,2,1,1,3,Slight,-1.527542,53.319848
18318,431570,380430,6,2,3,1,30,1,1,5,24,9,4,3,1,1,3,Slight,-1.527542,53.319848
18319,431570,380430,6,2,3,1,30,1,1,5,24,9,12,2,1,1,2,Assistance,-1.527542,53.319848
18320,431570,380430,6,2,3,1,30,1,1,5,24,9,7,2,1,1,2,Assistance,-1.527542,53.319848
18321,431570,380430,6,2,3,1,30,1,1,5,24,9,4,3,1,1,2,Assistance,-1.527542,53.319848
34649,435696,380459,6,1,1,1,30,1,1,5,8,2,5,2,3,1,1,Assistance,-1.465606,53.319879
34649,435696,380459,6,1,1,1,30,1,1,5,8,2,5,2,3,1,1,Assistance,-1.465606,53.319879
17752,433980,380480,5,1,1,2,30,1,1,4,11,2,2,5,3,1,1,Assistance,-1.491359,53.320149
17752,433980,380480,5,1,1,2,30,1,1,4,11,2,2,5,3,1,1,Assistance,-1.491359,53.320149
17752,433980,380480,5,1,1,2,30,1,1,4,11,2,2,5,3,1,1,Assistance,-1.491359,53.320149
17752,433980,380480,5,1,1,2,30,1,1,4,11,2,2,5,3,1,1,Assistance,-1.491359,53.320149
26583,435204,380577,3,1,3,1,40,1,1,3,13,7,9,2,1,1,3,Assistance,-1.472979,53.320954
26584,435204,380577,3,1,3,1,40,1,1,3,13,7,25,3,1,1,3,Assistance,-1.472979,53.320954
26585,435204,380577,3,1,3,1,40,1,1,3,13,7,11,3,1,1,3,Assistance,-1.472979,53.320954
26583,435204,380577,3,1,3,1,40,1,1,3,13,7,9,2,1,1,3,Assistance,-1.472979,53.320954
26584,435204,380577,3,1,3,1,40,1,1,3,13,7,25,3,1,1,3,Assistance,-1.472979,53.320954
26585,435204,380577,3,1,3,1,40,1,1,3,13,7,11,3,1,1,3,Assistance,-1.472979,53.320954
14076,431790,380590,3,1,2,1,30,1,1,2,39,3,4,5,1,1,2,Slight,-1.524223,53.321273
18405,431790,380590,3,1,2,2,30,1,2,3,25,9,1,3,1,1,3,Slight,-1.524223,53.321273
29429,431796,380592,3,1,2,2,30,1,1,7,16,3,5,2,1,1,3,Slight,-1.524133,53.321291
30950,431796,380590,3,1,2,1,30,1,1,3,11,3,7,5,1,1,3,Assistance,-1.524136,53.321304
29429,431796,380592,3,1,2,2,30,1,1,7,16,3,5,2,1,1,3,Slight,-1.524133,53.321291
30950,431796,380590,3,1,2,1,30,1,1,3,11,3,7,5,1,1,3,Assistance,-1.524136,53.321304
9214,428220,380650,6,1,2,2,60,1,5,6,45,9,6,5,1,2,2,Assistance,-1.57781,53.322014
9215,428220,380650,6,1,2,2,60,1,5,6,45,9,6,5,2,2,1,Assistance,-1.57781,53.322014
9216,428220,380650,6,1,2,2,60,1,5,6,45,9,6,5,1,1,3,Slight,-1.57781,53.322014
9217,428220,380650,6,1,2,2,60,1,5,6,45,9,6,5,2,2,3,Assistance,-1.57781,53.322014
9214,428220,380650,6,1,2,2,60,1,5,6,45,9,6,5,1,2,2,Assistance,-1.57781,53.322014
9215,428220,380650,6,1,2,2,60,1,5,6,45,9,6,5,2,2,1,Assistance,-1.57781,53.322014
9216,428220,380650,6,1,2,2,60,1,5,6,45,9,6,5,1,1,3,Slight,-1.57781,53.322014
9217,428220,380650,6,1,2,2,60,1,5,6,45,9,6,5,2,2,3,Assistance,-1.57781,53.322014
17001,443630,380660,4,1,1,2,30,3,2,3,44,2,10,5,3,2,4,Assistance,-1.346477,53.321061
34005,434894,380679,6,1,2,1,30,1,1,3,41,8,3,2,2,2,4,Assistance,-1.47762,53.32191
