,Easting,Northing,1st Road Class,Accident Time,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude
9040,533880,171280,3,2,2,1,30,3,1,2,35,9,2,5,1,1,3,Slight,-0.075763,51.424668
9041,533880,171280,3,2,2,1,30,3,1,2,35,9,12,2,1,1,3,Slight,-0.075763,51.424668
9092,533890,171280,3,2,2,1,30,3,1,1,38,11,2,1,2,1,3,Slight,-0.075619,51.424666
9093,533890,171280,3,2,2,1,30,3,1,1,38,11,13,1,2,1,3,Slight,-0.075619,51.424666
9094,533890,171280,3,2,2,1,30,3,1,1,38,11,2,1,2,2,4,Slight,-0.075619,51.424666
9095,533890,171280,3,2,2,1,30,3,1,1,38,11,13,1,2,2,4,Slight,-0.075619,51.424666
12051,533890,171280,3,1,2,1,30,1,1,4,34,3,8,5,1,1,3,Slight,-0.07562,51.424666
13988,533890,171280,3,2,2,1,30,3,1,4,5,3,5,3,1,1,3,Slight,-0.07562,51.424666
1455,533890,171280,3,1,1,1,30,1,1,6,11,2,8,2,3,2,3,Assistance,-0.075619,51.424666
7206,533890,171280,3,2,2,1,30,3,1,4,31,9,6,3,1,2,3,Slight,-0.075619,51.424666
7207,533890,171280,3,2,2,1,30,3,1,4,31,9,17,2,1,2,3,Slight,-0.075619,51.424666
7719,533890,171280,3,2,2,2,30,3,2,5,46,4,2,4,1,1,3,Slight,-0.075619,51.424666
7720,533890,171280,3,2,2,2,30,3,2,5,46,4,13,5,1,1,3,Slight,-0.075619,51.424666
8368,533890,171280,3,1,1,1,30,1,1,2,25,2,1,2,3,2,3,Slight,-0.075619,51.424666
8657,533890,171280,3,1,2,1,30,1,1,3,37,11,2,1,2,2,1,Assistance,-0.075619,51.424666
8658,533890,171280,3,1,2,1,30,1,1,3,37,11,15,1,2,2,1,Assistance,-0.075619,51.424666
8659,533890,171280,3,1,2,1,30,1,1,3,37,11,2,1,2,2,3,Slight,-0.075619,51.424666
8660,533890,171280,3,1,2,1,30,1,1,3,37,11,15,1,2,2,3,Slight,-0.075619,51.424666
9092,533890,171280,3,2,2,1,30,3,1,1,38,11,2,1,2,1,3,Slight,-0.075619,51.424666
9093,533890,171280,3,2,2,1,30,3,1,1,38,11,13,1,2,1,3,Slight,-0.075619,51.424666
9094,533890,171280,3,2,2,1,30,3,1,1,38,11,2,1,2,2,4,Slight,-0.075619,51.424666
9095,533890,171280,3,2,2,1,30,3,1,1,38,11,13,1,2,2,4,Slight,-0.075619,51.424666
12051,533890,171280,3,1,2,1,30,1,1,4,34,3,8,5,1,1,3,Slight,-0.07562,51.424666
13988,533890,171280,3,2,2,1,30,3,1,4,5,3,5,3,1,1,3,Slight,-0.07562,51.424666
583,533900,171330,3,1,2,1,30,1,1,1,26,9,4,2,1,2,2,Slight,-0.075457,51.425113
584,533900,171330,3,1,2,1,30,1,1,1,26,9,4,2,2,1,2,Slight,-0.075457,51.425113
