,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,longitude,latitude,Accident Time Sin,Accident Time Cos
7911,1501821,1321838,1,1,1,50,0,0,1,31,1,2009,12,2,0,3,Assistance,lon,lat,-0.8660254037844384,-0.5000000000000004
14016,1510370,1322670,8,2,1,100,0,0,6,52,2,2006,9,0,0,3,Assistance,lon,lat,-0.32556815445715676,-0.9455185755993167
9,1511879,1326556,1,2,0,110,0,0,1,1,6,1998,9,0,1,3,Assistance,lon,lat,-0.8660254037844384,-0.5000000000000004
89,1504113,1329441,6,2,0,110,0,0,2,2,5,2015,6,1,1,1,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
90,1504113,1329441,6,2,0,110,0,0,2,2,5,2015,6,1,1,3,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
91,1504113,1329441,6,2,0,110,0,0,2,2,5,2017,6,0,1,3,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
92,1504113,1329441,6,2,0,110,0,0,2,2,5,2017,6,1,1,4,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
93,1504113,1329441,6,2,0,110,0,0,2,2,5,2017,6,1,1,1,Assistance,lon,lat,-0.9914448613738104,-0.13052619222005163
20529,1510573,1329655,1,2,0,110,1,0,2,29,10,2006,4,0,0,3,Assistance,lon,lat,0.9762960071199335,-0.21643961393810257
20530,1510573,1329655,1,2,0,110,1,0,2,29,6,2017,4,0,0,3,Assistance,lon,lat,0.9762960071199335,-0.21643961393810257
5180,1522968,1330766,1,2,0,100,0,0,5,3,1,2008,10,2,0,3,Assistance,lon,lat,0.9914448613738104,-0.1305261922200516
7374,1510700,1332819,1,2,0,110,1,1,7,24,2,1993,9,0,1,2,Assistance,lon,lat,-0.4226182617407,0.9063077870366497
5735,1510842,1333986,1,3,0,110,0,0,2,9,6,2006,5,0,0,4,Assistance,lon,lat,0.8064446042674825,-0.5913096483635825
5736,1510842,1333986,1,3,0,110,0,0,2,9,5,2006,5,0,1,3,Assistance,lon,lat,0.8064446042674825,-0.5913096483635825
5737,1510842,1333986,1,3,0,110,0,0,2,9,5,2006,5,1,1,1,Assistance,lon,lat,0.8064446042674825,-0.5913096483635825
5738,1510842,1333986,1,3,0,110,0,0,2,9,5,2006,5,1,0,1,Assistance,lon,lat,0.8064446042674825,-0.5913096483635825
4687,1509283,1334720,1,2,0,100,0,0,7,49,6,2008,1,0,0,3,Assistance,lon,lat,-0.859406411501453,0.5112930860770515
18679,1481863,1335353,1,2,1,80,0,0,3,2,5,1994,9,0,0,3,Assistance,lon,lat,-0.9600498543859287,0.279829014030992
