,precision,recall,f1-score,support
Slight,0.981,0.771,0.864,10640.0
Serious,0.041,0.348,0.073,247.0
Fatal,0.002,0.071,0.004,14.0
accuracy,0.761,0.761,0.761,0.761
macro avg,0.342,0.397,0.314,10901.0
weighted avg,0.959,0.761,0.845,10901.0
