,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Slight,Slight,Southwark_1D-convolution,train,Southwark,1D-convolution,0.983,0.972,0.978,2981.0
Assistance,Assistance,Southwark_1D-convolution,train,Southwark,1D-convolution,0.973,0.983,0.978,2981.0
accuracy,accuracy,Southwark_1D-convolution,train,Southwark,1D-convolution,0.978,0.978,0.978,0.978
macro avg,macro avg,Southwark_1D-convolution,train,Southwark,1D-convolution,0.978,0.978,0.978,5962.0
weighted avg,weighted avg,Southwark_1D-convolution,train,Southwark,1D-convolution,0.978,0.978,0.978,5962.0
Slight,Slight,Southwark_2D-convolution,train,Southwark,2D-convolution,0.996,0.995,0.996,2981.0
Assistance,Assistance,Southwark_2D-convolution,train,Southwark,2D-convolution,0.995,0.996,0.996,2981.0
accuracy,accuracy,Southwark_2D-convolution,train,Southwark,2D-convolution,0.996,0.996,0.996,0.996
macro avg,macro avg,Southwark_2D-convolution,train,Southwark,2D-convolution,0.996,0.996,0.996,5962.0
weighted avg,weighted avg,Southwark_2D-convolution,train,Southwark,2D-convolution,0.996,0.996,0.996,5962.0
Slight,Slight,Southwark_KNN,train,Southwark,KNN,0.748,0.559,0.64,2981.0
Assistance,Assistance,Southwark_KNN,train,Southwark,KNN,0.648,0.812,0.721,2981.0
accuracy,accuracy,Southwark_KNN,train,Southwark,KNN,0.685,0.685,0.685,0.685
macro avg,macro avg,Southwark_KNN,train,Southwark,KNN,0.698,0.685,0.68,5962.0
weighted avg,weighted avg,Southwark_KNN,train,Southwark,KNN,0.698,0.685,0.68,5962.0
Slight,Slight,Southwark_Logistic-Regression,train,Southwark,Logistic-Regression,0.603,0.633,0.618,2981.0
Assistance,Assistance,Southwark_Logistic-Regression,train,Southwark,Logistic-Regression,0.614,0.584,0.599,2981.0
accuracy,accuracy,Southwark_Logistic-Regression,train,Southwark,Logistic-Regression,0.609,0.609,0.609,0.609
macro avg,macro avg,Southwark_Logistic-Regression,train,Southwark,Logistic-Regression,0.609,0.609,0.608,5962.0
weighted avg,weighted avg,Southwark_Logistic-Regression,train,Southwark,Logistic-Regression,0.609,0.609,0.608,5962.0
Slight,Slight,Southwark_ML-Perceptron,train,Southwark,ML-Perceptron,0.966,0.951,0.959,2981.0
Assistance,Assistance,Southwark_ML-Perceptron,train,Southwark,ML-Perceptron,0.952,0.967,0.959,2981.0
accuracy,accuracy,Southwark_ML-Perceptron,train,Southwark,ML-Perceptron,0.959,0.959,0.959,0.959
macro avg,macro avg,Southwark_ML-Perceptron,train,Southwark,ML-Perceptron,0.959,0.959,0.959,5962.0
weighted avg,weighted avg,Southwark_ML-Perceptron,train,Southwark,ML-Perceptron,0.959,0.959,0.959,5962.0
Slight,Slight,Southwark_NB,train,Southwark,NB,0.57,0.77,0.655,2981.0
Assistance,Assistance,Southwark_NB,train,Southwark,NB,0.645,0.419,0.508,2981.0
accuracy,accuracy,Southwark_NB,train,Southwark,NB,0.594,0.594,0.594,0.594
macro avg,macro avg,Southwark_NB,train,Southwark,NB,0.608,0.594,0.582,5962.0
weighted avg,weighted avg,Southwark_NB,train,Southwark,NB,0.608,0.594,0.582,5962.0
Slight,Slight,Southwark_Random-Forest,train,Southwark,Random-Forest,0.767,0.444,0.563,2981.0
Assistance,Assistance,Southwark_Random-Forest,train,Southwark,Random-Forest,0.609,0.865,0.715,2981.0
accuracy,accuracy,Southwark_Random-Forest,train,Southwark,Random-Forest,0.655,0.655,0.655,0.655
macro avg,macro avg,Southwark_Random-Forest,train,Southwark,Random-Forest,0.688,0.655,0.639,5962.0
weighted avg,weighted avg,Southwark_Random-Forest,train,Southwark,Random-Forest,0.688,0.655,0.639,5962.0
Slight,Slight,Southwark_SVC,train,Southwark,SVC,0.909,0.82,0.862,2981.0
Assistance,Assistance,Southwark_SVC,train,Southwark,SVC,0.836,0.917,0.875,2981.0
accuracy,accuracy,Southwark_SVC,train,Southwark,SVC,0.869,0.869,0.869,0.869
macro avg,macro avg,Southwark_SVC,train,Southwark,SVC,0.872,0.869,0.869,5962.0
weighted avg,weighted avg,Southwark_SVC,train,Southwark,SVC,0.872,0.869,0.869,5962.0
