,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Slight,Slight,madrid_2D-convolution,train,madrid,2D-convolution,0.971,0.942,0.956,1653.0
Assistance,Assistance,madrid_2D-convolution,train,madrid,2D-convolution,0.944,0.972,0.958,1659.0
accuracy,accuracy,madrid_2D-convolution,train,madrid,2D-convolution,0.957,0.957,0.957,0.957
macro avg,macro avg,madrid_2D-convolution,train,madrid,2D-convolution,0.958,0.957,0.957,3312.0
weighted avg,weighted avg,madrid_2D-convolution,train,madrid,2D-convolution,0.958,0.957,0.957,3312.0
Slight,Slight,madrid_2D-convolution,train,madrid,2D-convolution,0.971,0.942,0.956,1653.0
Assistance,Assistance,madrid_2D-convolution,train,madrid,2D-convolution,0.944,0.972,0.958,1659.0
accuracy,accuracy,madrid_2D-convolution,train,madrid,2D-convolution,0.957,0.957,0.957,0.957
macro avg,macro avg,madrid_2D-convolution,train,madrid,2D-convolution,0.958,0.957,0.957,3312.0
weighted avg,weighted avg,madrid_2D-convolution,train,madrid,2D-convolution,0.958,0.957,0.957,3312.0
Slight,Slight,madrid_2D-convolution,train,madrid,2D-convolution,0.971,0.942,0.956,1653.0
Assistance,Assistance,madrid_2D-convolution,train,madrid,2D-convolution,0.944,0.972,0.958,1659.0
accuracy,accuracy,madrid_2D-convolution,train,madrid,2D-convolution,0.957,0.957,0.957,0.957
macro avg,macro avg,madrid_2D-convolution,train,madrid,2D-convolution,0.958,0.957,0.957,3312.0
weighted avg,weighted avg,madrid_2D-convolution,train,madrid,2D-convolution,0.958,0.957,0.957,3312.0
Slight,Slight,madrid_2D-convolution,train,madrid,2D-convolution,0.971,0.942,0.956,1653.0
Assistance,Assistance,madrid_2D-convolution,train,madrid,2D-convolution,0.944,0.972,0.958,1659.0
accuracy,accuracy,madrid_2D-convolution,train,madrid,2D-convolution,0.957,0.957,0.957,0.957
macro avg,macro avg,madrid_2D-convolution,train,madrid,2D-convolution,0.958,0.957,0.957,3312.0
weighted avg,weighted avg,madrid_2D-convolution,train,madrid,2D-convolution,0.958,0.957,0.957,3312.0
Slight,Slight,madrid_2D-convolution,train,madrid,2D-convolution,0.971,0.942,0.956,1653.0
Assistance,Assistance,madrid_2D-convolution,train,madrid,2D-convolution,0.944,0.972,0.958,1659.0
accuracy,accuracy,madrid_2D-convolution,train,madrid,2D-convolution,0.957,0.957,0.957,0.957
macro avg,macro avg,madrid_2D-convolution,train,madrid,2D-convolution,0.958,0.957,0.957,3312.0
weighted avg,weighted avg,madrid_2D-convolution,train,madrid,2D-convolution,0.958,0.957,0.957,3312.0
Slight,Slight,madrid_2D-convolution,train,madrid,2D-convolution,0.971,0.942,0.956,1653.0
Assistance,Assistance,madrid_2D-convolution,train,madrid,2D-convolution,0.944,0.972,0.958,1659.0
