,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Slight,Slight,madrid_1D-convolution,train,madrid,1D-convolution,0.982,0.139,0.243,33927.0
Serious,Serious,madrid_1D-convolution,train,madrid,1D-convolution,0.439,0.912,0.593,34034.0
Fatal,Fatal,madrid_1D-convolution,train,madrid,1D-convolution,0.856,0.668,0.75,34059.0
accuracy,accuracy,madrid_1D-convolution,train,madrid,1D-convolution,0.573,0.573,0.573,0.573
macro avg,macro avg,madrid_1D-convolution,train,madrid,1D-convolution,0.759,0.573,0.529,102020.0
weighted avg,weighted avg,madrid_1D-convolution,train,madrid,1D-convolution,0.759,0.573,0.529,102020.0
Slight,Slight,madrid_2D-convolution,train,madrid,2D-convolution,0.901,0.794,0.844,33927.0
Serious,Serious,madrid_2D-convolution,train,madrid,2D-convolution,0.808,0.818,0.812,34034.0
Fatal,Fatal,madrid_2D-convolution,train,madrid,2D-convolution,0.874,0.967,0.918,34059.0
accuracy,accuracy,madrid_2D-convolution,train,madrid,2D-convolution,0.859,0.859,0.859,0.859
macro avg,macro avg,madrid_2D-convolution,train,madrid,2D-convolution,0.861,0.859,0.858,102020.0
weighted avg,weighted avg,madrid_2D-convolution,train,madrid,2D-convolution,0.861,0.859,0.858,102020.0
Slight,Slight,madrid_KNN,train,madrid,KNN,0.868,0.689,0.768,33927.0
Serious,Serious,madrid_KNN,train,madrid,KNN,0.747,0.782,0.764,34034.0
Fatal,Fatal,madrid_KNN,train,madrid,KNN,0.832,0.965,0.894,34059.0
accuracy,accuracy,madrid_KNN,train,madrid,KNN,0.812,0.812,0.812,0.812
macro avg,macro avg,madrid_KNN,train,madrid,KNN,0.816,0.812,0.809,102020.0
weighted avg,weighted avg,madrid_KNN,train,madrid,KNN,0.816,0.812,0.809,102020.0
Slight,Slight,madrid_NB,train,madrid,NB,0.637,0.177,0.277,33927.0
Serious,Serious,madrid_NB,train,madrid,NB,0.649,0.143,0.234,34034.0
Fatal,Fatal,madrid_NB,train,madrid,NB,0.391,0.977,0.559,34059.0
accuracy,accuracy,madrid_NB,train,madrid,NB,0.433,0.433,0.433,0.433
macro avg,macro avg,madrid_NB,train,madrid,NB,0.559,0.432,0.357,102020.0
weighted avg,weighted avg,madrid_NB,train,madrid,NB,0.559,0.433,0.357,102020.0
Slight,Slight,madrid_SVC,train,madrid,SVC,0.861,0.783,0.82,33927.0
Serious,Serious,madrid_SVC,train,madrid,SVC,0.801,0.768,0.784,34034.0
Fatal,Fatal,madrid_SVC,train,madrid,SVC,0.857,0.97,0.91,34059.0
accuracy,accuracy,madrid_SVC,train,madrid,SVC,0.84,0.84,0.84,0.84
macro avg,macro avg,madrid_SVC,train,madrid,SVC,0.84,0.84,0.838,102020.0
weighted avg,weighted avg,madrid_SVC,train,madrid,SVC,0.84,0.84,0.838,102020.0
