,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,Sheffield_1D-convolution,train,Sheffield,1D-convolution,0.83,0.829,0.829,1416.0
Slight,Slight,Sheffield_1D-convolution,train,Sheffield,1D-convolution,0.829,0.83,0.83,1416.0
accuracy,accuracy,Sheffield_1D-convolution,train,Sheffield,1D-convolution,0.829,0.829,0.829,0.829
macro avg,macro avg,Sheffield_1D-convolution,train,Sheffield,1D-convolution,0.829,0.829,0.829,2832.0
weighted avg,weighted avg,Sheffield_1D-convolution,train,Sheffield,1D-convolution,0.829,0.829,0.829,2832.0
Assistance,Assistance,Sheffield_1D-convolution,train,Sheffield,1D-convolution,0.83,0.829,0.829,1416.0
Slight,Slight,Sheffield_1D-convolution,train,Sheffield,1D-convolution,0.829,0.83,0.83,1416.0
accuracy,accuracy,Sheffield_1D-convolution,train,Sheffield,1D-convolution,0.829,0.829,0.829,0.829
macro avg,macro avg,Sheffield_1D-convolution,train,Sheffield,1D-convolution,0.829,0.829,0.829,2832.0
weighted avg,weighted avg,Sheffield_1D-convolution,train,Sheffield,1D-convolution,0.829,0.829,0.829,2832.0
Assistance,Assistance,Sheffield_2D-convolution,train,Sheffield,2D-convolution,0.997,0.972,0.985,1416.0
Slight,Slight,Sheffield_2D-convolution,train,Sheffield,2D-convolution,0.973,0.997,0.985,1416.0
accuracy,accuracy,Sheffield_2D-convolution,train,Sheffield,2D-convolution,0.985,0.985,0.985,0.985
macro avg,macro avg,Sheffield_2D-convolution,train,Sheffield,2D-convolution,0.985,0.985,0.985,2832.0
weighted avg,weighted avg,Sheffield_2D-convolution,train,Sheffield,2D-convolution,0.985,0.985,0.985,2832.0
Assistance,Assistance,Sheffield_KNN,train,Sheffield,KNN,0.694,0.672,0.683,1416.0
Slight,Slight,Sheffield_KNN,train,Sheffield,KNN,0.682,0.704,0.693,1416.0
accuracy,accuracy,Sheffield_KNN,train,Sheffield,KNN,0.688,0.688,0.688,0.688
macro avg,macro avg,Sheffield_KNN,train,Sheffield,KNN,0.688,0.688,0.688,2832.0
weighted avg,weighted avg,Sheffield_KNN,train,Sheffield,KNN,0.688,0.688,0.688,2832.0
Assistance,Assistance,Sheffield_KNN,train,Sheffield,KNN,0.694,0.672,0.683,1416.0
Slight,Slight,Sheffield_KNN,train,Sheffield,KNN,0.682,0.704,0.693,1416.0
accuracy,accuracy,Sheffield_KNN,train,Sheffield,KNN,0.688,0.688,0.688,0.688
macro avg,macro avg,Sheffield_KNN,train,Sheffield,KNN,0.688,0.688,0.688,2832.0
weighted avg,weighted avg,Sheffield_KNN,train,Sheffield,KNN,0.688,0.688,0.688,2832.0
Assistance,Assistance,Sheffield_Logistic-Regression,train,Sheffield,Logistic-Regression,0.676,0.641,0.658,1416.0
Slight,Slight,Sheffield_Logistic-Regression,train,Sheffield,Logistic-Regression,0.659,0.693,0.675,1416.0
accuracy,accuracy,Sheffield_Logistic-Regression,train,Sheffield,Logistic-Regression,0.667,0.667,0.667,0.667
macro avg,macro avg,Sheffield_Logistic-Regression,train,Sheffield,Logistic-Regression,0.667,0.667,0.667,2832.0
weighted avg,weighted avg,Sheffield_Logistic-Regression,train,Sheffield,Logistic-Regression,0.667,0.667,0.667,2832.0
Assistance,Assistance,Sheffield_Logistic-Regression,train,Sheffield,Logistic-Regression,0.676,0.641,0.658,1416.0
Slight,Slight,Sheffield_Logistic-Regression,train,Sheffield,Logistic-Regression,0.659,0.693,0.675,1416.0
accuracy,accuracy,Sheffield_Logistic-Regression,train,Sheffield,Logistic-Regression,0.667,0.667,0.667,0.667
macro avg,macro avg,Sheffield_Logistic-Regression,train,Sheffield,Logistic-Regression,0.667,0.667,0.667,2832.0
weighted avg,weighted avg,Sheffield_Logistic-Regression,train,Sheffield,Logistic-Regression,0.667,0.667,0.667,2832.0
Assistance,Assistance,Sheffield_ML-Perceptron,train,Sheffield,ML-Perceptron,0.875,0.881,0.878,1416.0
