,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,Victoria_2D-convolution,train,Victoria,2D-convolution,0.941,0.947,0.944,1855.0
Slight,Slight,Victoria_2D-convolution,train,Victoria,2D-convolution,0.947,0.941,0.944,1855.0
accuracy,accuracy,Victoria_2D-convolution,train,Victoria,2D-convolution,0.944,0.944,0.944,0.944
macro avg,macro avg,Victoria_2D-convolution,train,Victoria,2D-convolution,0.944,0.944,0.944,3710.0
weighted avg,weighted avg,Victoria_2D-convolution,train,Victoria,2D-convolution,0.944,0.944,0.944,3710.0
Assistance,Assistance,Victoria_KNN,train,Victoria,KNN,0.665,0.496,0.568,1855.0
Slight,Slight,Victoria_KNN,train,Victoria,KNN,0.598,0.75,0.666,1855.0
accuracy,accuracy,Victoria_KNN,train,Victoria,KNN,0.623,0.623,0.623,0.623
macro avg,macro avg,Victoria_KNN,train,Victoria,KNN,0.632,0.623,0.617,3710.0
weighted avg,weighted avg,Victoria_KNN,train,Victoria,KNN,0.632,0.623,0.617,3710.0
Assistance,Assistance,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.607,0.619,0.613,1855.0
Slight,Slight,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.612,0.6,0.606,1855.0
accuracy,accuracy,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.609,0.609,0.609,0.609
macro avg,macro avg,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.609,0.609,0.609,3710.0
weighted avg,weighted avg,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.609,0.609,0.609,3710.0
Assistance,Assistance,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.832,0.752,0.79,1855.0
Slight,Slight,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.774,0.848,0.809,1855.0
accuracy,accuracy,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.8,0.8,0.8,0.8
macro avg,macro avg,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.803,0.8,0.8,3710.0
weighted avg,weighted avg,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.803,0.8,0.8,3710.0
Assistance,Assistance,Victoria_NB,train,Victoria,NB,0.649,0.439,0.524,1855.0
Slight,Slight,Victoria_NB,train,Victoria,NB,0.576,0.763,0.657,1855.0
accuracy,accuracy,Victoria_NB,train,Victoria,NB,0.601,0.601,0.601,0.601
macro avg,macro avg,Victoria_NB,train,Victoria,NB,0.613,0.601,0.59,3710.0
weighted avg,weighted avg,Victoria_NB,train,Victoria,NB,0.613,0.601,0.59,3710.0
Assistance,Assistance,Victoria_Random-Forest,train,Victoria,Random-Forest,0.81,0.259,0.393,1855.0
Slight,Slight,Victoria_Random-Forest,train,Victoria,Random-Forest,0.559,0.939,0.701,1855.0
accuracy,accuracy,Victoria_Random-Forest,train,Victoria,Random-Forest,0.599,0.599,0.599,0.599
macro avg,macro avg,Victoria_Random-Forest,train,Victoria,Random-Forest,0.684,0.599,0.547,3710.0
weighted avg,weighted avg,Victoria_Random-Forest,train,Victoria,Random-Forest,0.684,0.599,0.547,3710.0
Assistance,Assistance,Victoria_SVC,train,Victoria,SVC,0.741,0.657,0.696,1855.0
Slight,Slight,Victoria_SVC,train,Victoria,SVC,0.692,0.77,0.729,1855.0
accuracy,accuracy,Victoria_SVC,train,Victoria,SVC,0.713,0.713,0.713,0.713
macro avg,macro avg,Victoria_SVC,train,Victoria,SVC,0.716,0.713,0.713,3710.0
weighted avg,weighted avg,Victoria_SVC,train,Victoria,SVC,0.716,0.713,0.713,3710.0
