,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Slight,Slight,UK_1D-convolution,train,UK,1D-convolution,0.779,0.581,0.666,62286.0
Serious,Serious,UK_1D-convolution,train,UK,1D-convolution,0.536,0.667,0.594,62286.0
Fatal,Fatal,UK_1D-convolution,train,UK,1D-convolution,0.726,0.733,0.729,62285.0
accuracy,accuracy,UK_1D-convolution,train,UK,1D-convolution,0.66,0.66,0.66,0.66
macro avg,macro avg,UK_1D-convolution,train,UK,1D-convolution,0.68,0.66,0.663,186857.0
weighted avg,weighted avg,UK_1D-convolution,train,UK,1D-convolution,0.68,0.66,0.663,186857.0
Slight,Slight,UK_2D-convolution,train,UK,2D-convolution,0.69,0.819,0.749,62286.0
Serious,Serious,UK_2D-convolution,train,UK,2D-convolution,0.739,0.597,0.66,62286.0
Fatal,Fatal,UK_2D-convolution,train,UK,2D-convolution,0.922,0.927,0.924,62285.0
accuracy,accuracy,UK_2D-convolution,train,UK,2D-convolution,0.781,0.781,0.781,0.781
macro avg,macro avg,UK_2D-convolution,train,UK,2D-convolution,0.783,0.781,0.778,186857.0
weighted avg,weighted avg,UK_2D-convolution,train,UK,2D-convolution,0.783,0.781,0.778,186857.0
Slight,Slight,UK_KNN,train,UK,KNN,0.833,0.715,0.769,62286.0
Serious,Serious,UK_KNN,train,UK,KNN,0.772,0.787,0.779,62286.0
Fatal,Fatal,UK_KNN,train,UK,KNN,0.873,0.981,0.924,62285.0
accuracy,accuracy,UK_KNN,train,UK,KNN,0.827,0.827,0.827,0.827
macro avg,macro avg,UK_KNN,train,UK,KNN,0.826,0.827,0.824,186857.0
weighted avg,weighted avg,UK_KNN,train,UK,KNN,0.826,0.827,0.824,186857.0
Slight,Slight,UK_NB,train,UK,NB,0.487,0.703,0.575,62286.0
Serious,Serious,UK_NB,train,UK,NB,0.519,0.521,0.52,62286.0
Fatal,Fatal,UK_NB,train,UK,NB,0.59,0.326,0.42,62285.0
accuracy,accuracy,UK_NB,train,UK,NB,0.517,0.517,0.517,0.517
macro avg,macro avg,UK_NB,train,UK,NB,0.532,0.517,0.505,186857.0
weighted avg,weighted avg,UK_NB,train,UK,NB,0.532,0.517,0.505,186857.0
Slight,Slight,UK_SVC,train,UK,SVC,0.813,0.828,0.821,62286.0
Serious,Serious,UK_SVC,train,UK,SVC,0.802,0.781,0.792,62286.0
Fatal,Fatal,UK_SVC,train,UK,SVC,0.941,0.949,0.945,62285.0
accuracy,accuracy,UK_SVC,train,UK,SVC,0.853,0.853,0.853,0.853
macro avg,macro avg,UK_SVC,train,UK,SVC,0.852,0.853,0.852,186857.0
weighted avg,weighted avg,UK_SVC,train,UK,SVC,0.852,0.853,0.852,186857.0
