,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Slight,Slight,UK_1D-convolution,train,UK,1D-convolution,0.605,0.843,0.705,32124.0
Serious,Serious,UK_1D-convolution,train,UK,1D-convolution,0.802,0.056,0.105,32124.0
Fatal,Fatal,UK_1D-convolution,train,UK,1D-convolution,0.639,0.983,0.774,32124.0
accuracy,accuracy,UK_1D-convolution,train,UK,1D-convolution,0.627,0.627,0.627,0.627
macro avg,macro avg,UK_1D-convolution,train,UK,1D-convolution,0.682,0.627,0.528,96372.0
weighted avg,weighted avg,UK_1D-convolution,train,UK,1D-convolution,0.682,0.627,0.528,96372.0
Slight,Slight,UK_2D-convolution,train,UK,2D-convolution,0.728,0.769,0.748,32124.0
Serious,Serious,UK_2D-convolution,train,UK,2D-convolution,0.734,0.63,0.678,32124.0
Fatal,Fatal,UK_2D-convolution,train,UK,2D-convolution,0.9,0.977,0.937,32124.0
accuracy,accuracy,UK_2D-convolution,train,UK,2D-convolution,0.792,0.792,0.792,0.792
macro avg,macro avg,UK_2D-convolution,train,UK,2D-convolution,0.787,0.792,0.788,96372.0
weighted avg,weighted avg,UK_2D-convolution,train,UK,2D-convolution,0.787,0.792,0.788,96372.0
Slight,Slight,UK_KNN,train,UK,KNN,0.819,0.712,0.762,32124.0
Serious,Serious,UK_KNN,train,UK,KNN,0.744,0.757,0.75,32124.0
Fatal,Fatal,UK_KNN,train,UK,KNN,0.891,0.991,0.938,32124.0
accuracy,accuracy,UK_KNN,train,UK,KNN,0.82,0.82,0.82,0.82
macro avg,macro avg,UK_KNN,train,UK,KNN,0.818,0.82,0.817,96372.0
weighted avg,weighted avg,UK_KNN,train,UK,KNN,0.818,0.82,0.817,96372.0
Slight,Slight,UK_NB,train,UK,NB,0.653,0.696,0.674,32124.0
Serious,Serious,UK_NB,train,UK,NB,0.522,0.599,0.558,32124.0
Fatal,Fatal,UK_NB,train,UK,NB,0.783,0.614,0.688,32124.0
accuracy,accuracy,UK_NB,train,UK,NB,0.637,0.637,0.637,0.637
macro avg,macro avg,UK_NB,train,UK,NB,0.652,0.637,0.64,96372.0
weighted avg,weighted avg,UK_NB,train,UK,NB,0.652,0.637,0.64,96372.0
Slight,Slight,UK_SVC,train,UK,SVC,0.845,0.747,0.793,32124.0
Serious,Serious,UK_SVC,train,UK,SVC,0.761,0.804,0.782,32124.0
Fatal,Fatal,UK_SVC,train,UK,SVC,0.924,0.979,0.951,32124.0
accuracy,accuracy,UK_SVC,train,UK,SVC,0.843,0.843,0.843,0.843
macro avg,macro avg,UK_SVC,train,UK,SVC,0.844,0.843,0.842,96372.0
weighted avg,weighted avg,UK_SVC,train,UK,SVC,0.844,0.843,0.842,96372.0
