,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Slight,Slight,madrid_1D-convolution,train,madrid,1D-convolution,0.464,0.948,0.623,42509.0
Serious,Serious,madrid_1D-convolution,train,madrid,1D-convolution,0.836,0.246,0.38,42508.0
Fatal,Fatal,madrid_1D-convolution,train,madrid,1D-convolution,0.776,0.514,0.619,42509.0
accuracy,accuracy,madrid_1D-convolution,train,madrid,1D-convolution,0.569,0.569,0.569,0.569
macro avg,macro avg,madrid_1D-convolution,train,madrid,1D-convolution,0.692,0.569,0.541,127526.0
weighted avg,weighted avg,madrid_1D-convolution,train,madrid,1D-convolution,0.692,0.569,0.541,127526.0
Slight,Slight,madrid_2D-convolution,train,madrid,2D-convolution,0.911,0.56,0.693,42509.0
Serious,Serious,madrid_2D-convolution,train,madrid,2D-convolution,0.674,0.801,0.732,42508.0
Fatal,Fatal,madrid_2D-convolution,train,madrid,2D-convolution,0.816,0.977,0.889,42509.0
accuracy,accuracy,madrid_2D-convolution,train,madrid,2D-convolution,0.779,0.779,0.779,0.779
macro avg,macro avg,madrid_2D-convolution,train,madrid,2D-convolution,0.8,0.779,0.772,127526.0
weighted avg,weighted avg,madrid_2D-convolution,train,madrid,2D-convolution,0.8,0.779,0.772,127526.0
Slight,Slight,madrid_KNN,train,madrid,KNN,0.583,0.865,0.696,42509.0
Serious,Serious,madrid_KNN,train,madrid,KNN,0.846,0.574,0.684,42508.0
Fatal,Fatal,madrid_KNN,train,madrid,KNN,0.872,0.729,0.794,42509.0
accuracy,accuracy,madrid_KNN,train,madrid,KNN,0.723,0.723,0.723,0.723
macro avg,macro avg,madrid_KNN,train,madrid,KNN,0.767,0.723,0.725,127526.0
weighted avg,weighted avg,madrid_KNN,train,madrid,KNN,0.767,0.723,0.725,127526.0
Slight,Slight,madrid_NB,train,madrid,NB,0.639,0.183,0.285,42509.0
Serious,Serious,madrid_NB,train,madrid,NB,0.665,0.137,0.227,42508.0
Fatal,Fatal,madrid_NB,train,madrid,NB,0.391,0.981,0.559,42509.0
accuracy,accuracy,madrid_NB,train,madrid,NB,0.434,0.434,0.434,0.434
macro avg,macro avg,madrid_NB,train,madrid,NB,0.565,0.434,0.357,127526.0
weighted avg,weighted avg,madrid_NB,train,madrid,NB,0.565,0.434,0.357,127526.0
Slight,Slight,madrid_SVC,train,madrid,SVC,0.852,0.793,0.822,42509.0
Serious,Serious,madrid_SVC,train,madrid,SVC,0.806,0.76,0.782,42508.0
Fatal,Fatal,madrid_SVC,train,madrid,SVC,0.86,0.968,0.911,42509.0
accuracy,accuracy,madrid_SVC,train,madrid,SVC,0.84,0.84,0.84,0.84
macro avg,macro avg,madrid_SVC,train,madrid,SVC,0.839,0.84,0.838,127526.0
weighted avg,weighted avg,madrid_SVC,train,madrid,SVC,0.839,0.84,0.838,127526.0
