,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.968,0.949,0.959,1776.0
Slight,Slight,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.95,0.969,0.96,1776.0
accuracy,accuracy,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.959,0.959,0.959,0.959
macro avg,macro avg,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.959,0.959,0.959,3552.0
weighted avg,weighted avg,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.959,0.959,0.959,3552.0
Assistance,Assistance,Cornwall_KNN,train,Cornwall,KNN,0.626,0.533,0.575,1776.0
Slight,Slight,Cornwall_KNN,train,Cornwall,KNN,0.593,0.681,0.634,1776.0
accuracy,accuracy,Cornwall_KNN,train,Cornwall,KNN,0.607,0.607,0.607,0.607
macro avg,macro avg,Cornwall_KNN,train,Cornwall,KNN,0.609,0.607,0.605,3552.0
weighted avg,weighted avg,Cornwall_KNN,train,Cornwall,KNN,0.609,0.607,0.605,3552.0
Assistance,Assistance,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.572,0.63,0.599,1776.0
Slight,Slight,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.588,0.528,0.556,1776.0
accuracy,accuracy,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.579,0.579,0.579,0.579
macro avg,macro avg,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.58,0.579,0.578,3552.0
weighted avg,weighted avg,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.58,0.579,0.578,3552.0
Assistance,Assistance,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.769,0.78,0.774,1776.0
Slight,Slight,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.777,0.766,0.771,1776.0
accuracy,accuracy,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.773,0.773,0.773,0.773
macro avg,macro avg,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.773,0.773,0.773,3552.0
weighted avg,weighted avg,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.773,0.773,0.773,3552.0
Assistance,Assistance,Cornwall_NB,train,Cornwall,NB,0.598,0.43,0.5,1776.0
Slight,Slight,Cornwall_NB,train,Cornwall,NB,0.555,0.711,0.623,1776.0
accuracy,accuracy,Cornwall_NB,train,Cornwall,NB,0.57,0.57,0.57,0.57
macro avg,macro avg,Cornwall_NB,train,Cornwall,NB,0.576,0.57,0.562,3552.0
weighted avg,weighted avg,Cornwall_NB,train,Cornwall,NB,0.576,0.57,0.562,3552.0
Assistance,Assistance,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.57,0.755,0.65,1776.0
Slight,Slight,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.638,0.432,0.515,1776.0
accuracy,accuracy,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.593,0.593,0.593,0.593
macro avg,macro avg,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.604,0.593,0.582,3552.0
weighted avg,weighted avg,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.604,0.593,0.582,3552.0
Assistance,Assistance,Cornwall_SVC,train,Cornwall,SVC,0.71,0.652,0.68,1776.0
Slight,Slight,Cornwall_SVC,train,Cornwall,SVC,0.678,0.734,0.705,1776.0
accuracy,accuracy,Cornwall_SVC,train,Cornwall,SVC,0.693,0.693,0.693,0.693
macro avg,macro avg,Cornwall_SVC,train,Cornwall,SVC,0.694,0.693,0.693,3552.0
weighted avg,weighted avg,Cornwall_SVC,train,Cornwall,SVC,0.694,0.693,0.693,3552.0
