,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,Victoria_2D-convolution,train,Victoria,2D-convolution,0.951,0.938,0.944,1863.0
Slight,Slight,Victoria_2D-convolution,train,Victoria,2D-convolution,0.939,0.951,0.945,1863.0
accuracy,accuracy,Victoria_2D-convolution,train,Victoria,2D-convolution,0.945,0.945,0.945,0.945
macro avg,macro avg,Victoria_2D-convolution,train,Victoria,2D-convolution,0.945,0.945,0.945,3726.0
weighted avg,weighted avg,Victoria_2D-convolution,train,Victoria,2D-convolution,0.945,0.945,0.945,3726.0
Assistance,Assistance,Victoria_KNN,train,Victoria,KNN,0.657,0.445,0.531,1863.0
Slight,Slight,Victoria_KNN,train,Victoria,KNN,0.58,0.768,0.661,1863.0
accuracy,accuracy,Victoria_KNN,train,Victoria,KNN,0.606,0.606,0.606,0.606
macro avg,macro avg,Victoria_KNN,train,Victoria,KNN,0.619,0.606,0.596,3726.0
weighted avg,weighted avg,Victoria_KNN,train,Victoria,KNN,0.619,0.606,0.596,3726.0
Assistance,Assistance,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.601,0.609,0.605,1863.0
Slight,Slight,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.604,0.596,0.6,1863.0
accuracy,accuracy,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.603,0.603,0.603,0.603
macro avg,macro avg,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.603,0.603,0.603,3726.0
weighted avg,weighted avg,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.603,0.603,0.603,3726.0
Assistance,Assistance,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.807,0.788,0.797,1863.0
Slight,Slight,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.793,0.811,0.802,1863.0
accuracy,accuracy,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.8,0.8,0.8,0.8
macro avg,macro avg,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.8,0.8,0.799,3726.0
weighted avg,weighted avg,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.8,0.8,0.799,3726.0
Assistance,Assistance,Victoria_NB,train,Victoria,NB,0.631,0.507,0.562,1863.0
Slight,Slight,Victoria_NB,train,Victoria,NB,0.588,0.704,0.641,1863.0
accuracy,accuracy,Victoria_NB,train,Victoria,NB,0.605,0.605,0.605,0.605
macro avg,macro avg,Victoria_NB,train,Victoria,NB,0.61,0.605,0.602,3726.0
weighted avg,weighted avg,Victoria_NB,train,Victoria,NB,0.61,0.605,0.602,3726.0
Assistance,Assistance,Victoria_Random-Forest,train,Victoria,Random-Forest,0.79,0.251,0.381,1863.0
Slight,Slight,Victoria_Random-Forest,train,Victoria,Random-Forest,0.555,0.933,0.696,1863.0
accuracy,accuracy,Victoria_Random-Forest,train,Victoria,Random-Forest,0.592,0.592,0.592,0.592
macro avg,macro avg,Victoria_Random-Forest,train,Victoria,Random-Forest,0.672,0.592,0.538,3726.0
weighted avg,weighted avg,Victoria_Random-Forest,train,Victoria,Random-Forest,0.672,0.592,0.538,3726.0
Assistance,Assistance,Victoria_SVC,train,Victoria,SVC,0.749,0.648,0.695,1863.0
Slight,Slight,Victoria_SVC,train,Victoria,SVC,0.69,0.783,0.733,1863.0
accuracy,accuracy,Victoria_SVC,train,Victoria,SVC,0.715,0.715,0.715,0.715
macro avg,macro avg,Victoria_SVC,train,Victoria,SVC,0.719,0.715,0.714,3726.0
weighted avg,weighted avg,Victoria_SVC,train,Victoria,SVC,0.719,0.715,0.714,3726.0
