,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.969,0.975,0.972,1793.0
Slight,Slight,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.975,0.969,0.972,1793.0
accuracy,accuracy,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.972,0.972,0.972,0.972
macro avg,macro avg,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.972,0.972,0.972,3586.0
weighted avg,weighted avg,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.972,0.972,0.972,3586.0
Assistance,Assistance,Cornwall_KNN,train,Cornwall,KNN,0.689,0.519,0.592,1793.0
Slight,Slight,Cornwall_KNN,train,Cornwall,KNN,0.614,0.766,0.682,1793.0
accuracy,accuracy,Cornwall_KNN,train,Cornwall,KNN,0.642,0.642,0.642,0.642
macro avg,macro avg,Cornwall_KNN,train,Cornwall,KNN,0.652,0.642,0.637,3586.0
weighted avg,weighted avg,Cornwall_KNN,train,Cornwall,KNN,0.652,0.642,0.637,3586.0
Assistance,Assistance,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.653,0.59,0.62,1793.0
Slight,Slight,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.626,0.687,0.655,1793.0
accuracy,accuracy,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.639,0.639,0.639,0.639
macro avg,macro avg,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.64,0.639,0.638,3586.0
weighted avg,weighted avg,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.64,0.639,0.638,3586.0
Assistance,Assistance,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.823,0.738,0.778,1793.0
Slight,Slight,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.763,0.841,0.8,1793.0
accuracy,accuracy,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.79,0.79,0.79,0.79
macro avg,macro avg,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.793,0.79,0.789,3586.0
weighted avg,weighted avg,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.793,0.79,0.789,3586.0
Assistance,Assistance,Cornwall_NB,train,Cornwall,NB,0.64,0.508,0.567,1793.0
Slight,Slight,Cornwall_NB,train,Cornwall,NB,0.592,0.714,0.648,1793.0
accuracy,accuracy,Cornwall_NB,train,Cornwall,NB,0.611,0.611,0.611,0.611
macro avg,macro avg,Cornwall_NB,train,Cornwall,NB,0.616,0.611,0.607,3586.0
weighted avg,weighted avg,Cornwall_NB,train,Cornwall,NB,0.616,0.611,0.607,3586.0
Assistance,Assistance,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.762,0.481,0.59,1793.0
Slight,Slight,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.621,0.85,0.718,1793.0
accuracy,accuracy,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.665,0.665,0.665,0.665
macro avg,macro avg,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.691,0.665,0.654,3586.0
weighted avg,weighted avg,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.691,0.665,0.654,3586.0
Assistance,Assistance,Cornwall_SVC,train,Cornwall,SVC,0.788,0.619,0.694,1793.0
Slight,Slight,Cornwall_SVC,train,Cornwall,SVC,0.686,0.834,0.753,1793.0
accuracy,accuracy,Cornwall_SVC,train,Cornwall,SVC,0.726,0.726,0.726,0.726
macro avg,macro avg,Cornwall_SVC,train,Cornwall,SVC,0.737,0.726,0.723,3586.0
weighted avg,weighted avg,Cornwall_SVC,train,Cornwall,SVC,0.737,0.726,0.723,3586.0
